timestamp,temp_c,util_pct,sm_mhz,mem_mhz,power_w,throttle
2026/06/28 22:07:40.475, 57, 84 %, 3202 MHz, 15598 MHz, 245.82 W, 0x0000000000000000
2026/06/28 22:07:45.576, 57, 93 %, 3202 MHz, 15598 MHz, 250.05 W, 0x0000000000000000
2026/06/28 22:07:50.702, 55, 79 %, 3202 MHz, 15598 MHz, 255.76 W, 0x0000000000000000
2026/06/28 22:07:55.778, 58, 97 %, 3210 MHz, 15598 MHz, 262.52 W, 0x0000000000000000
2026/06/28 22:08:00.933, 55, 92 %, 3210 MHz, 15598 MHz, 251.83 W, 0x0000000000000000
2026/06/28 22:08:06.063, 54, 86 %, 3210 MHz, 15598 MHz, 242.06 W, 0x0000000000000000
2026/06/28 22:08:11.161, 53, 84 %, 3210 MHz, 15598 MHz, 253.68 W, 0x0000000000000000
2026/06/28 22:08:16.285, 57, 97 %, 3210 MHz, 15598 MHz, 242.62 W, 0x0000000000000000
2026/06/28 22:08:21.440, 56, 86 %, 3210 MHz, 15598 MHz, 235.60 W, 0x0000000000000000
2026/06/28 22:08:26.514, 56, 95 %, 3210 MHz, 15598 MHz, 243.08 W, 0x0000000000000000
2026/06/28 22:08:31.610, 59, 97 %, 3210 MHz, 15598 MHz, 258.53 W, 0x0000000000000000
2026/06/28 22:08:36.732, 56, 91 %, 3210 MHz, 15598 MHz, 253.94 W, 0x0000000000000000
2026/06/28 22:08:41.895, 55, 83 %, 3210 MHz, 15598 MHz, 238.93 W, 0x0000000000000000
2026/06/28 22:08:47.010, 53, 70 %, 3210 MHz, 15598 MHz, 212.38 W, 0x0000000000000000
2026/06/28 22:08:52.106, 50, 69 %, 3210 MHz, 15598 MHz, 192.31 W, 0x0000000000000000
2026/06/28 22:08:57.189, 55, 84 %, 3202 MHz, 15598 MHz, 229.25 W, 0x0000000000000000
2026/06/28 22:09:02.285, 56, 91 %, 3202 MHz, 15598 MHz, 249.15 W, 0x0000000000000000
2026/06/28 22:09:07.416, 58, 97 %, 3202 MHz, 15598 MHz, 259.13 W, 0x0000000000000000
2026/06/28 22:09:12.530, 57, 88 %, 3202 MHz, 15598 MHz, 231.32 W, 0x0000000000000000
2026/06/28 22:09:17.612, 60, 97 %, 3195 MHz, 15598 MHz, 291.69 W, 0x0000000000000000
2026/06/28 22:09:22.692, 56, 97 %, 3202 MHz, 15598 MHz, 291.35 W, 0x0000000000000000
2026/06/28 22:09:27.759, 56, 97 %, 3195 MHz, 15598 MHz, 292.72 W, 0x0000000000000000
2026/06/28 22:09:32.831, 60, 97 %, 3180 MHz, 15598 MHz, 325.73 W, 0x0000000000000000
2026/06/28 22:09:37.911, 57, 97 %, 3187 MHz, 15598 MHz, 307.01 W, 0x0000000000000000
2026/06/28 22:09:42.983, 58, 97 %, 3187 MHz, 15598 MHz, 303.46 W, 0x0000000000000000
2026/06/28 22:09:48.048, 59, 97 %, 3187 MHz, 15598 MHz, 314.01 W, 0x0000000000000000
2026/06/28 22:09:53.112, 58, 97 %, 3187 MHz, 15598 MHz, 312.80 W, 0x0000000000000000
2026/06/28 22:09:58.186, 57, 97 %, 3187 MHz, 15598 MHz, 320.39 W, 0x0000000000000000
2026/06/28 22:10:03.250, 60, 97 %, 3180 MHz, 15598 MHz, 321.98 W, 0x0000000000000000
2026/06/28 22:10:08.311, 59, 97 %, 3187 MHz, 15598 MHz, 312.48 W, 0x0000000000000000
2026/06/28 22:10:13.376, 59, 97 %, 3187 MHz, 15598 MHz, 321.16 W, 0x0000000000000000
2026/06/28 22:10:18.433, 57, 97 %, 3195 MHz, 15598 MHz, 289.82 W, 0x0000000000000000
2026/06/28 22:10:23.492, 51, 77 %, 3195 MHz, 15598 MHz, 291.66 W, 0x0000000000000000
2026/06/28 22:10:28.575, 55, 97 %, 3202 MHz, 15598 MHz, 282.50 W, 0x0000000000000000
2026/06/28 22:10:33.650, 56, 97 %, 3195 MHz, 15598 MHz, 283.46 W, 0x0000000000000000
2026/06/28 22:10:38.709, 56, 98 %, 3195 MHz, 15598 MHz, 294.62 W, 0x0000000000000000
2026/06/28 22:10:43.773, 55, 97 %, 3210 MHz, 15598 MHz, 170.85 W, 0x0000000000000000
2026/06/28 22:10:48.839, 58, 97 %, 3195 MHz, 15598 MHz, 300.35 W, 0x0000000000000000
2026/06/28 22:10:53.896, 59, 97 %, 3195 MHz, 15598 MHz, 304.48 W, 0x0000000000000000
2026/06/28 22:10:58.960, 59, 97 %, 3195 MHz, 15598 MHz, 305.03 W, 0x0000000000000000
2026/06/28 22:11:04.024, 58, 97 %, 3195 MHz, 15598 MHz, 304.98 W, 0x0000000000000000
2026/06/28 22:11:09.095, 58, 97 %, 3195 MHz, 15598 MHz, 304.71 W, 0x0000000000000000
2026/06/28 22:11:14.162, 57, 97 %, 3195 MHz, 15598 MHz, 305.14 W, 0x0000000000000000
2026/06/28 22:11:19.224, 57, 97 %, 3195 MHz, 15598 MHz, 305.35 W, 0x0000000000000000
2026/06/28 22:11:24.287, 58, 97 %, 3195 MHz, 15598 MHz, 305.36 W, 0x0000000000000000
2026/06/28 22:11:29.343, 58, 97 %, 3195 MHz, 15598 MHz, 305.24 W, 0x0000000000000000
2026/06/28 22:11:34.400, 58, 97 %, 3195 MHz, 15598 MHz, 304.63 W, 0x0000000000000000
2026/06/28 22:11:39.464, 58, 97 %, 3195 MHz, 15598 MHz, 304.96 W, 0x0000000000000000
2026/06/28 22:11:44.527, 56, 97 %, 3195 MHz, 15598 MHz, 304.45 W, 0x0000000000000000
2026/06/28 22:11:49.614, 57, 97 %, 3195 MHz, 15598 MHz, 303.86 W, 0x0000000000000000
2026/06/28 22:11:54.673, 56, 97 %, 3202 MHz, 15598 MHz, 291.73 W, 0x0000000000000000
2026/06/28 22:11:59.733, 56, 87 %, 3202 MHz, 15598 MHz, 276.68 W, 0x0000000000000000
2026/06/28 22:12:04.802, 56, 91 %, 3202 MHz, 15598 MHz, 286.88 W, 0x0000000000000000
2026/06/28 22:12:09.867, 57, 96 %, 3202 MHz, 15598 MHz, 287.77 W, 0x0000000000000000
2026/06/28 22:12:14.936, 58, 95 %, 3202 MHz, 15598 MHz, 293.84 W, 0x0000000000000000
2026/06/28 22:12:20.005, 57, 94 %, 3202 MHz, 15598 MHz, 295.07 W, 0x0000000000000000
2026/06/28 22:12:25.064, 53, 68 %, 3202 MHz, 15598 MHz, 268.89 W, 0x0000000000000000
2026/06/28 22:12:30.124, 54, 74 %, 3202 MHz, 15598 MHz, 224.69 W, 0x0000000000000000
2026/06/28 22:12:35.192, 58, 83 %, 3202 MHz, 15598 MHz, 271.58 W, 0x0000000000000000
2026/06/28 22:12:40.253, 56, 81 %, 3202 MHz, 15598 MHz, 265.78 W, 0x0000000000000000
2026/06/28 22:12:45.320, 58, 89 %, 3202 MHz, 15598 MHz, 282.02 W, 0x0000000000000000
2026/06/28 22:12:50.383, 58, 94 %, 3202 MHz, 15598 MHz, 289.27 W, 0x0000000000000000
2026/06/28 22:12:55.445, 57, 94 %, 3202 MHz, 15598 MHz, 300.44 W, 0x0000000000000000
2026/06/28 22:13:00.531, 56, 90 %, 3202 MHz, 15598 MHz, 286.13 W, 0x0000000000000000
2026/06/28 22:13:05.597, 59, 98 %, 3202 MHz, 15598 MHz, 304.15 W, 0x0000000000000000
2026/06/28 22:13:10.657, 58, 98 %, 3202 MHz, 15598 MHz, 302.48 W, 0x0000000000000000
2026/06/28 22:13:15.742, 59, 98 %, 3202 MHz, 15598 MHz, 302.85 W, 0x0000000000000000
2026/06/28 22:13:20.811, 59, 98 %, 3202 MHz, 15598 MHz, 301.54 W, 0x0000000000000000
2026/06/28 22:13:25.873, 58, 98 %, 3202 MHz, 15598 MHz, 295.80 W, 0x0000000000000000
2026/06/28 22:13:30.941, 57, 97 %, 3202 MHz, 15598 MHz, 292.03 W, 0x0000000000000000
2026/06/28 22:13:35.998, 58, 98 %, 3202 MHz, 15598 MHz, 291.02 W, 0x0000000000000000
2026/06/28 22:13:41.058, 57, 98 %, 3202 MHz, 15598 MHz, 302.85 W, 0x0000000000000000
2026/06/28 22:13:46.121, 57, 98 %, 3202 MHz, 15598 MHz, 293.83 W, 0x0000000000000000
2026/06/28 22:13:51.208, 58, 98 %, 3202 MHz, 15598 MHz, 302.53 W, 0x0000000000000000
2026/06/28 22:13:56.271, 58, 98 %, 3195 MHz, 15598 MHz, 302.96 W, 0x0000000000000000
2026/06/28 22:14:01.340, 57, 98 %, 3202 MHz, 15598 MHz, 294.45 W, 0x0000000000000000
2026/06/28 22:14:06.411, 58, 97 %, 3202 MHz, 15598 MHz, 301.02 W, 0x0000000000000000
2026/06/28 22:14:11.482, 57, 98 %, 3195 MHz, 15598 MHz, 300.10 W, 0x0000000000000000
2026/06/28 22:14:16.549, 58, 98 %, 3202 MHz, 15598 MHz, 299.07 W, 0x0000000000000000
2026/06/28 22:14:21.614, 58, 98 %, 3202 MHz, 15598 MHz, 299.77 W, 0x0000000000000000
2026/06/28 22:14:26.675, 58, 98 %, 3202 MHz, 15598 MHz, 299.12 W, 0x0000000000000000
2026/06/28 22:14:31.736, 57, 98 %, 3202 MHz, 15598 MHz, 299.58 W, 0x0000000000000000
2026/06/28 22:14:36.795, 59, 98 %, 3195 MHz, 15598 MHz, 306.13 W, 0x0000000000000000
2026/06/28 22:14:41.853, 57, 98 %, 3195 MHz, 15598 MHz, 316.30 W, 0x0000000000000000
2026/06/28 22:14:46.914, 57, 98 %, 3202 MHz, 15598 MHz, 302.58 W, 0x0000000000000000
2026/06/28 22:14:51.982, 57, 98 %, 3202 MHz, 15598 MHz, 302.27 W, 0x0000000000000000
2026/06/28 22:14:57.036, 57, 98 %, 3202 MHz, 15598 MHz, 301.30 W, 0x0000000000000000
2026/06/28 22:15:02.115, 59, 97 %, 3195 MHz, 15598 MHz, 318.18 W, 0x0000000000000000
2026/06/28 22:15:07.183, 57, 97 %, 3187 MHz, 15598 MHz, 319.66 W, 0x0000000000000000
2026/06/28 22:15:12.252, 58, 98 %, 3202 MHz, 15598 MHz, 301.39 W, 0x0000000000000000
2026/06/28 22:15:17.313, 57, 98 %, 3202 MHz, 15598 MHz, 301.59 W, 0x0000000000000000
2026/06/28 22:15:22.374, 58, 97 %, 3195 MHz, 15598 MHz, 318.40 W, 0x0000000000000000
2026/06/28 22:15:27.432, 57, 97 %, 3202 MHz, 15598 MHz, 299.15 W, 0x0000000000000000
2026/06/28 22:15:32.498, 57, 96 %, 3195 MHz, 15598 MHz, 315.56 W, 0x0000000000000000
2026/06/28 22:15:37.574, 58, 97 %, 3195 MHz, 15598 MHz, 317.91 W, 0x0000000000000000
2026/06/28 22:15:42.643, 58, 98 %, 3202 MHz, 15598 MHz, 296.21 W, 0x0000000000000000
2026/06/28 22:15:47.713, 58, 98 %, 3202 MHz, 15598 MHz, 296.40 W, 0x0000000000000000
2026/06/28 22:15:52.774, 56, 98 %, 3202 MHz, 15598 MHz, 295.53 W, 0x0000000000000000
2026/06/28 22:15:57.835, 56, 98 %, 3202 MHz, 15598 MHz, 296.27 W, 0x0000000000000000
2026/06/28 22:16:02.907, 56, 98 %, 3202 MHz, 15598 MHz, 296.39 W, 0x0000000000000000
2026/06/28 22:16:07.972, 57, 98 %, 3202 MHz, 15598 MHz, 290.70 W, 0x0000000000000000
2026/06/28 22:16:13.036, 57, 98 %, 3195 MHz, 15598 MHz, 295.84 W, 0x0000000000000000
2026/06/28 22:16:18.108, 58, 98 %, 3202 MHz, 15598 MHz, 289.80 W, 0x0000000000000000
2026/06/28 22:16:23.167, 56, 98 %, 3202 MHz, 15598 MHz, 296.35 W, 0x0000000000000000
2026/06/28 22:16:28.230, 57, 98 %, 3202 MHz, 15598 MHz, 297.10 W, 0x0000000000000000
2026/06/28 22:16:33.302, 52, 80 %, 3202 MHz, 15598 MHz, 242.55 W, 0x0000000000000000
2026/06/28 22:16:38.380, 54, 96 %, 3202 MHz, 15598 MHz, 247.79 W, 0x0000000000000000
2026/06/28 22:16:43.466, 55, 84 %, 3202 MHz, 15598 MHz, 239.82 W, 0x0000000000000000
2026/06/28 22:16:48.548, 54, 85 %, 3202 MHz, 15598 MHz, 257.79 W, 0x0000000000000000
2026/06/28 22:16:53.626, 55, 72 %, 3195 MHz, 15598 MHz, 252.63 W, 0x0000000000000000
2026/06/28 22:16:58.715, 56, 87 %, 3195 MHz, 15598 MHz, 264.56 W, 0x0000000000000000
2026/06/28 22:17:03.796, 57, 83 %, 3195 MHz, 15598 MHz, 278.32 W, 0x0000000000000000
2026/06/28 22:17:08.872, 56, 91 %, 3195 MHz, 15598 MHz, 262.93 W, 0x0000000000000000
2026/06/28 22:17:13.937, 58, 97 %, 3202 MHz, 15598 MHz, 291.75 W, 0x0000000000000000
2026/06/28 22:17:19.000, 57, 93 %, 3195 MHz, 15598 MHz, 269.01 W, 0x0000000000000000
2026/06/28 22:17:24.066, 57, 93 %, 3202 MHz, 15598 MHz, 286.82 W, 0x0000000000000000
2026/06/28 22:17:29.133, 58, 98 %, 3202 MHz, 15598 MHz, 298.23 W, 0x0000000000000000
2026/06/28 22:17:34.213, 56, 86 %, 3195 MHz, 15598 MHz, 278.25 W, 0x0000000000000000
2026/06/28 22:17:39.295, 57, 85 %, 3195 MHz, 15598 MHz, 251.11 W, 0x0000000000000000
2026/06/28 22:17:44.372, 56, 81 %, 3195 MHz, 15598 MHz, 244.78 W, 0x0000000000000000
2026/06/28 22:17:49.453, 56, 83 %, 3195 MHz, 15598 MHz, 258.58 W, 0x0000000000000000
2026/06/28 22:17:54.517, 58, 97 %, 3202 MHz, 15598 MHz, 295.76 W, 0x0000000000000000
2026/06/28 22:17:59.595, 57, 97 %, 3202 MHz, 15598 MHz, 275.62 W, 0x0000000000000000
2026/06/28 22:18:04.666, 58, 98 %, 3202 MHz, 15598 MHz, 293.60 W, 0x0000000000000000
2026/06/28 22:18:09.743, 57, 84 %, 3195 MHz, 15598 MHz, 266.93 W, 0x0000000000000000
2026/06/28 22:18:14.826, 58, 89 %, 3195 MHz, 15598 MHz, 287.18 W, 0x0000000000000000
2026/06/28 22:18:19.902, 59, 98 %, 3195 MHz, 15598 MHz, 292.52 W, 0x0000000000000000
2026/06/28 22:18:24.979, 57, 97 %, 3202 MHz, 15598 MHz, 282.90 W, 0x0000000000000000
2026/06/28 22:18:30.056, 58, 98 %, 3195 MHz, 15598 MHz, 289.01 W, 0x0000000000000000
2026/06/28 22:18:35.116, 57, 98 %, 3195 MHz, 15598 MHz, 282.66 W, 0x0000000000000000
2026/06/28 22:18:40.197, 57, 93 %, 3195 MHz, 15598 MHz, 280.01 W, 0x0000000000000000
--- logger resumed 23:18:33 ---
