timestamp,temp_c,util_pct,sm_mhz,mem_mhz,power_w,throttle
2026/06/28 23:23:37.787, 54, 94 %, 3202 MHz, 15598 MHz, 269.16 W, 0x0000000000000000
2026/06/28 23:23:42.848, 55, 95 %, 3195 MHz, 15598 MHz, 279.05 W, 0x0000000000000000
2026/06/28 23:23:47.912, 56, 96 %, 3202 MHz, 15598 MHz, 268.98 W, 0x0000000000000000
2026/06/28 23:23:52.972, 55, 95 %, 3202 MHz, 15598 MHz, 276.99 W, 0x0000000000000000
2026/06/28 23:23:58.046, 56, 88 %, 3210 MHz, 15598 MHz, 265.13 W, 0x0000000000000000
2026/06/28 23:24:03.111, 54, 85 %, 3210 MHz, 15598 MHz, 265.64 W, 0x0000000000000000
2026/06/28 23:24:08.171, 56, 98 %, 3202 MHz, 15598 MHz, 269.58 W, 0x0000000000000000
2026/06/28 23:24:13.235, 56, 96 %, 3202 MHz, 15598 MHz, 278.04 W, 0x0000000000000000
2026/06/28 23:24:18.294, 56, 93 %, 3202 MHz, 15598 MHz, 273.77 W, 0x0000000000000000
2026/06/28 23:24:23.359, 58, 97 %, 3202 MHz, 15598 MHz, 267.37 W, 0x0000000000000000
2026/06/28 23:24:28.428, 55, 89 %, 3202 MHz, 15598 MHz, 273.23 W, 0x0000000000000000
2026/06/28 23:24:33.485, 55, 95 %, 3202 MHz, 15598 MHz, 268.01 W, 0x0000000000000000
2026/06/28 23:24:38.539, 57, 97 %, 3202 MHz, 15598 MHz, 268.39 W, 0x0000000000000000
2026/06/28 23:24:43.707, 54, 78 %, 3210 MHz, 15598 MHz, 206.65 W, 0x0000000000000000
2026/06/28 23:24:48.819, 48, 33 %, 3217 MHz, 15598 MHz, 195.06 W, 0x0000000000000000
2026/06/28 23:24:53.885, 53, 68 %, 3217 MHz, 15598 MHz, 183.45 W, 0x0000000000000000
2026/06/28 23:24:58.957, 48, 35 %, 3232 MHz, 15598 MHz, 181.96 W, 0x0000000000000000
2026/06/28 23:25:04.075, 47, 26 %, 3225 MHz, 15598 MHz, 208.67 W, 0x0000000000000000
2026/06/28 23:25:09.191, 56, 92 %, 3202 MHz, 15598 MHz, 210.77 W, 0x0000000000000000
2026/06/28 23:25:14.290, 48, 26 %, 3225 MHz, 15598 MHz, 211.62 W, 0x0000000000000000
2026/06/28 23:25:19.376, 55, 65 %, 3210 MHz, 15598 MHz, 233.63 W, 0x0000000000000000
2026/06/28 23:25:24.484, 53, 77 %, 3210 MHz, 15598 MHz, 204.65 W, 0x0000000000000000
2026/06/28 23:25:29.562, 51, 53 %, 3225 MHz, 15598 MHz, 194.88 W, 0x0000000000000000
2026/06/28 23:25:34.639, 52, 73 %, 3217 MHz, 15598 MHz, 186.89 W, 0x0000000000000000
2026/06/28 23:25:39.729, 48, 46 %, 3232 MHz, 15598 MHz, 167.32 W, 0x0000000000000000
2026/06/28 23:25:44.819, 50, 44 %, 3217 MHz, 15598 MHz, 167.68 W, 0x0000000000000000
2026/06/28 23:25:49.918, 52, 61 %, 3225 MHz, 15598 MHz, 177.83 W, 0x0000000000000000
2026/06/28 23:25:55.012, 49, 35 %, 3225 MHz, 15598 MHz, 172.10 W, 0x0000000000000000
2026/06/28 23:26:00.124, 51, 51 %, 3217 MHz, 15598 MHz, 205.55 W, 0x0000000000000000
2026/06/28 23:26:05.202, 53, 72 %, 3210 MHz, 15598 MHz, 206.85 W, 0x0000000000000000
2026/06/28 23:26:10.291, 53, 61 %, 3210 MHz, 15598 MHz, 179.72 W, 0x0000000000000000
2026/06/28 23:26:15.365, 50, 53 %, 3232 MHz, 15598 MHz, 194.53 W, 0x0000000000000000
2026/06/28 23:26:20.477, 53, 70 %, 3217 MHz, 15598 MHz, 196.07 W, 0x0000000000000000
2026/06/28 23:26:25.557, 53, 60 %, 3217 MHz, 15598 MHz, 189.48 W, 0x0000000000000000
2026/06/28 23:26:30.676, 52, 58 %, 3202 MHz, 15598 MHz, 205.01 W, 0x0000000000000000
2026/06/28 23:26:35.841, 50, 46 %, 3210 MHz, 15598 MHz, 189.23 W, 0x0000000000000000
2026/06/28 23:26:40.919, 48, 34 %, 3225 MHz, 15598 MHz, 189.49 W, 0x0000000000000000
2026/06/28 23:26:45.998, 59, 97 %, 3195 MHz, 15598 MHz, 302.94 W, 0x0000000000000000
2026/06/28 23:26:51.062, 58, 95 %, 3202 MHz, 15598 MHz, 273.36 W, 0x0000000000000000
2026/06/28 23:26:56.148, 57, 67 %, 3202 MHz, 15598 MHz, 284.68 W, 0x0000000000000000
2026/06/28 23:27:01.232, 49, 26 %, 3217 MHz, 15598 MHz, 194.80 W, 0x0000000000000000
2026/06/28 23:27:06.384, 53, 68 %, 3225 MHz, 15598 MHz, 181.49 W, 0x0000000000000000
2026/06/28 23:27:11.486, 48, 35 %, 3225 MHz, 15598 MHz, 162.30 W, 0x0000000000000000
2026/06/28 23:27:16.545, 53, 59 %, 3225 MHz, 15598 MHz, 187.41 W, 0x0000000000000000
2026/06/28 23:27:21.657, 47, 35 %, 2985 MHz, 15598 MHz, 100.25 W, 0x0000000000000000
2026/06/28 23:27:26.752, 53, 64 %, 3225 MHz, 15598 MHz, 238.46 W, 0x0000000000000000
2026/06/28 23:27:31.825, 51, 36 %, 3210 MHz, 15598 MHz, 248.31 W, 0x0000000000000000
2026/06/28 23:27:36.971, 57, 84 %, 3210 MHz, 15598 MHz, 256.64 W, 0x0000000000000000
2026/06/28 23:27:42.083, 57, 88 %, 3217 MHz, 15598 MHz, 255.77 W, 0x0000000000000000
2026/06/28 23:27:47.227, 58, 90 %, 3202 MHz, 15598 MHz, 239.65 W, 0x0000000000000000
2026/06/28 23:27:52.310, 57, 76 %, 3217 MHz, 15598 MHz, 244.17 W, 0x0000000000000000
2026/06/28 23:27:57.375, 51, 31 %, 3210 MHz, 15598 MHz, 240.75 W, 0x0000000000000000
2026/06/28 23:28:02.451, 51, 42 %, 3165 MHz, 15598 MHz, 120.39 W, 0x0000000000000000
2026/06/28 23:28:07.540, 45, 23 %, 3232 MHz, 15598 MHz, 87.27 W, 0x0000000000000000
2026/06/28 23:28:12.629, 51, 48 %, 3217 MHz, 15598 MHz, 152.18 W, 0x0000000000000000
2026/06/28 23:28:17.728, 49, 36 %, 3165 MHz, 15598 MHz, 125.05 W, 0x0000000000000000
2026/06/28 23:28:22.803, 46, 1 %, 3217 MHz, 15598 MHz, 191.29 W, 0x0000000000000000
2026/06/28 23:28:27.896, 53, 61 %, 3210 MHz, 15598 MHz, 216.00 W, 0x0000000000000000
2026/06/28 23:28:33.010, 48, 38 %, 3225 MHz, 15598 MHz, 162.39 W, 0x0000000000000000
2026/06/28 23:28:38.067, 52, 54 %, 3210 MHz, 15598 MHz, 214.44 W, 0x0000000000000000
2026/06/28 23:28:43.149, 54, 53 %, 3210 MHz, 15598 MHz, 219.24 W, 0x0000000000000000
